year,case,title,documenturl,courtline,fileddate,citation,parallelcite,docketnum,summary,searchsnippet1,searchsnippet2,searchsnippet3,searchsnippet4
2005,Doubleclick Inc. v. Paikin,Doubleclick Inc. v. Paikin,https://www.westlaw.com/Document/Ifc12838d65a211daa20eccddde63d628/View/FullText.html?listSource=Search&list=CASE&rank=39&sessionScopeId=b148ef7b263a93e7be26a0ca3b0848336dc62882a98ffc68849e42f08b111e5e&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,"United States District Court, D. Colorado.",1-Dec-05,402 F.Supp.2d 1251,2005 WL 3272996,05-CV-1400-WDM/BNB,LITIGATION - Injunction. Former corporate executive's violation of confidentiality and noncompetition agreements was preliminarily enjoined.,...injunction to prevent former executive who had signed confidentiality and noncompetition agreements from violating separation agreement and misappropriating trade secrets. Holdings...,"...qualification as management employee, under separate exception to invalidity of noncompete agreements in Colorado; (4) eighteen-month length of noncompete clause was reasonable in duration; and (5) agreement was...",,
2009,"Abbott Point of Care Inc. v. Epocal, Inc.","Abbott Point of Care Inc. v. Epocal, Inc.",https://www.westlaw.com/Document/I8146e390279011e7815ea6969ee18a03/View/FullText.html?listSource=Search&list=CASE&rank=795&sessionScopeId=04f640b2ff2c2e6e3b1d87cd6394bcc861a5c3b644f6b21e3d65eeb3d6174582&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,"United States District Court, N.D. Alabama, Northeastern Division.",1-Dec-09,Slip Copy,2009 Markman 10668441,CV-08-S-0543-NE,"Pursuant to a June 23, 2009 Order, the Honorable C. Lynwood Smith, Jr. appointed Kevin R. Casey as Special Master in the action identified above for the purposes of holding a patent claim construction hearing, receiving evidence on claim construction issues, and filing a Federal Rules of Civil Procedure 53 report and recommendation with the Court...","...6) the tortious interference claim is based upon confidentiality and non- compete provisions of Abbott's employment contracts, which may apply to employees...",,,
2006,"Illinois Tool Works Inc. v. Independent Ink, Inc.","Illinois Tool Works Inc. v. Independent Ink, Inc.",https://www.westlaw.com/Document/I68524f2da90b11da8ccbb4c14e983401/View/FullText.html?listSource=Search&list=CASE&rank=603&sessionScopeId=04f640b2ff2c2e6e3b1d87cd6394bcc861a5c3b644f6b21e3d65eeb3d6174582&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,Supreme Court of the United States,1-Mar-06,547 U.S. 28,126 S.Ct. 1281,04-1329,ANTITRUST - Sales Practices. Patent does not necessarily confer market power upon the patentee for purposes of a tying claim.,"...between large volume and small volume purchasers or evidence of noncompetitive pricing.  Instead, the leases at issue provided that if any...",,,
2009,"Steveson v. United Subcontractors, Inc.","Steveson v. United Subcontractors, Inc.",https://www.westlaw.com/Document/Ic6902134ec8a11deae65b23e804c3c12/View/FullText.html?listSource=Search&list=CASE&rank=15&sessionScopeId=04f640b2ff2c2e6e3b1d87cd6394bcc861a5c3b644f6b21e3d65eeb3d6174582&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,"United States Court of Appeals, Ninth Circuit.",11-Dec-09,365 Fed.Appx. 752,2009 WL 4884497,09-35001,"LABOR AND EMPLOYMENT - Contracts. Employment contract was terminable at either party's discretion after amendments, thus termination was not contract breach.","...state law by withholding compensation, and seeking to invalidate contract's non- compete covenant. The United States District Court for the Western District of...","...terminable at either party's discretion after amendments, and (2)  non- compete covenant was applicable whether employee was terminated with or without cause...",...2) k. Restriction of competition. Employment contract specifically stated that non- compete covenant was applicable whether employee was terminated with or without cause...,...to have the district court invalidate the employment contract's restrictive covenant limiting his ability to compete as a commissioned sales representative of insulation products and to...
2008,In re Electran Logistics Ltd.,In re Electran Logistics Ltd.,https://www.westlaw.com/Document/Id8836d59dcb711dc9876f446780b7bdc/View/FullText.html?listSource=Search&list=CASE&rank=743&sessionScopeId=04f640b2ff2c2e6e3b1d87cd6394bcc861a5c3b644f6b21e3d65eeb3d6174582&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,"United States Bankruptcy Court, N.D. Texas, Dallas Division.",11-Feb-08,Not Reported in B.R.,2008 WL 410235,"06-32347 HDH-7, ADV 07-3004","The Trustee, Robert Newhouse (Plaintiff), sued WesTech Logistics, Inc. (Defendant), seeking to avoid, under the Bankruptcy Code and state law an alleged transfer of trade secrets and confidential and proprietary information from Electran Logistics Ltd. (Debtor) to the Defendant. Before and on the record at trial, the Plaintiff abandoned his...","...The employees who left the Debtor were not subject to noncompete agreements, and all three of the Defendant's witnesses testified that...",,,
2009,Hart v. Edwards,Hart v. Edwards,https://www.westlaw.com/Document/Ie766c59113a411deb6a3a099756c05b7/View/FullText.html?listSource=Search&list=CASE&rank=796&sessionScopeId=04f640b2ff2c2e6e3b1d87cd6394bcc861a5c3b644f6b21e3d65eeb3d6174582&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,"United States District Court, M.D. Georgia, Athens Division.",11-Mar-09,Not Reported in F.Supp.2d,2009 WL 691069,3:07-CV-64CDL,"Clarke County Sheriff Ira Edwards, Jr. terminated the employment of Plaintiff R. Brett Hart, who had served as jail commander prior to his termination. Plaintiff contends that he was unlawfully terminated based upon racial and religious discrimination. He brings this employment discrimination action against Sheriff Edwards, individually and in his...","...reasons for employee's terminationviolation of rule found in contract, noncompete agreement, and unwritten policywere unworthy of credence because employee was not under contract or subject to a noncompete agreement and there was no evidence of the unwritten policy...",,,
2005,"Century 21 Real Estate Corp. v. Lendingtree, Inc.","Century 21 Real Estate Corp. v. Lendingtree, Inc.",https://www.westlaw.com/Document/I1ca1b3303a4311da974abd26ac2a6030/View/FullText.html?listSource=Search&list=CASE&rank=466&sessionScopeId=b148ef7b263a93e7be26a0ca3b0848336dc62882a98ffc68849e42f08b111e5e&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,"United States Court of Appeals, Third Circuit.",11-Oct-05,425 F.3d 211,2005 WL 2495718,Mar-00,TRADEMARKS - Fair Use. Plaintiff had burden of proving likelihood of confusion when defendant raised nominative fair use defense.,...updated formulation post-dates Lapp and addresses both competitive and non- competitive uses. I agree with the majority that Lapp factors one...,,,
2007,Guardian Fiberglass Inc v Whit Davis Lumber Co,"Guardian Fiberglass, Inc. v. Whit Davis Lumber Co.",https://www.westlaw.com/Document/I116a6b99a8bb11dc8660fe478720b947/View/FullText.html?listSource=Search&list=CASE&rank=12&sessionScopeId=04f640b2ff2c2e6e3b1d87cd6394bcc861a5c3b644f6b21e3d65eeb3d6174582&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,"United States Court of Appeals, Eighth Circuit.",12-Dec-07,509 F.3d 512,2007 WL 4322261,Jun-96,COMMERCIAL LAW - Contracts. Insulation manufacturer's non-compete covenant with installer was not justified by legitimate business interest.,"...for breach of contract to install insulation, and to enforce non- compete covenant prohibiting operator from providing installation services for two years if...","...Under Arkansas choice of law principles, manufacturer's action to enforce non- compete covenant against lumberyard operator was governed by Michigan law, where parties...","...95 116(1) k. In general. Under Michigan law, a non- compete covenant will be upheld provided that the covenant is reasonable. [5...","...necessary for protection. Under Michigan law, to be reasonable, a non- compete covenant must protect a legitimate business interest, and the duration, geographic..."
2009,In re Long,In re Long,https://www.westlaw.com/Document/Ife0970b3579511e097a4a9f0a6e10efc/View/FullText.html?listSource=Search&list=CASE&rank=797&sessionScopeId=04f640b2ff2c2e6e3b1d87cd6394bcc861a5c3b644f6b21e3d65eeb3d6174582&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,United States Bankruptcy Appellate Panel of the Ninth Circuit.,12-Feb-09,Not Reported in B.R.,2009 WL 7751422,"BAP.MT-09-1165-DMOPA, BK.07-60011, ADV.07-00026","Mountain West Bank of Kalispell, N.A. (MW Bank) filed an adversary proceeding seeking to deny the debtor, Michael Andrew Long (Mr.Long), a discharge in bankruptcy under § 727(a)(3) and (a)(4)(A) of the Bankruptcy Code, and/or to except its debt from Mr. Long's discharge under § 523(a)(4) and (a)(6). Following a trial, the bankruptcy court...","...sale of AboutMontana's ISP assets, Mr. Long entered into a noncompetition agreement with Montana Sky. Mr. Long did not notify Montana...","...that its proceeds are being dissipated. In light of his noncompete agreement with Montana Sky, Mr. Long was precluded from continuing...",,
2007,"Saye v. Old Hill Partners, Inc.","Saye v. Old Hill Partners, Inc.",https://www.westlaw.com/Document/Ie61f3dd8d22d11dbb92c924f6a2d2928/View/FullText.html?listSource=Search&list=CASE&rank=14&sessionScopeId=04f640b2ff2c2e6e3b1d87cd6394bcc861a5c3b644f6b21e3d65eeb3d6174582&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,"United States District Court, D. Connecticut.",12-Mar-07,478 F.Supp.2d 248,2007 WL 749678,3:03CV01071DJS,COMMERCIAL LAW - Unfair Practices. Alleged conduct of former employer fell within purview of Connecticut's Unfair Trade Practices Act.,...Practices Act (CUTPA); (4) former employee did not violate non- compete covenant; (5) summary judgment in favor of former executive was...,...95 116 In General 95 116(1) k. In general. Non- compete covenants are valid under Connecticut law but are enforceable only if...,"...95 116(1) k. In general. In assessing whether a non- compete covenant is reasonable under Connecticut law, court must consider: (1) the...","...or injure business carried on by another. Under Connecticut law, non- compete covenant prohibited former employee from providing services to a competitor of..."
